section_id,act_name,section_number,title,description
10001,Bharatiya Nyaya Sanhita,1,"Short title, commencement and application.",PRELIMINARY
10002,Bharatiya Nyaya Sanhita,2,Definitions.,PRELIMINARY
10003,Bharatiya Nyaya Sanhita,3,General explanations.,PRELIMINARY
10004,Bharatiya Nyaya Sanhita,4,Punishments.,OF PUNISHMENTS
10005,Bharatiya Nyaya Sanhita,5,Commutation of sentence.,OF PUNISHMENTS
10006,Bharatiya Nyaya Sanhita,6,Fractions of terms of punishment.,OF PUNISHMENTS
10007,Bharatiya Nyaya Sanhita,7,Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple.,OF PUNISHMENTS
10008,Bharatiya Nyaya Sanhita,8,"Amount of fine, liability in default of payment of fine, etc.",OF PUNISHMENTS
10009,Bharatiya Nyaya Sanhita,9,Limit of punishment of offence made up of several offences.,OF PUNISHMENTS
10010,Bharatiya Nyaya Sanhita,10,"Punishment of person guilty of one of several offences, judgment stating that it is doubtful of",OF PUNISHMENTS
10011,Bharatiya Nyaya Sanhita,11,Solitary confinement.,OF PUNISHMENTS
10012,Bharatiya Nyaya Sanhita,12,Limit of solitary confinement.,OF PUNISHMENTS
10013,Bharatiya Nyaya Sanhita,13,Enhanced punishment for certain offences after previous conviction.,OF PUNISHMENTS
10014,Bharatiya Nyaya Sanhita,14,"Act done by a person bound, or by mistake of fact believing himself bound, by law.",GENERAL EXCEPTIONS
10015,Bharatiya Nyaya Sanhita,15,Act of Judge when acting judicially.,GENERAL EXCEPTIONS
10016,Bharatiya Nyaya Sanhita,16,Act done pursuant to judgment or order of Court.,GENERAL EXCEPTIONS
10017,Bharatiya Nyaya Sanhita,17,"Act done by a person justified, or by mistake of fact believing himself justified, by law.",GENERAL EXCEPTIONS
10018,Bharatiya Nyaya Sanhita,18,Accident in doing a lawful act.,GENERAL EXCEPTIONS
10019,Bharatiya Nyaya Sanhita,19,"Act likely to cause harm, but done without criminal intent, and to prevent other harm.",GENERAL EXCEPTIONS
10020,Bharatiya Nyaya Sanhita,20,Act of a child under seven years of age.,GENERAL EXCEPTIONS
10021,Bharatiya Nyaya Sanhita,21,Act of a child above seven and under twelve years of age of immature understanding.,GENERAL EXCEPTIONS
10022,Bharatiya Nyaya Sanhita,22,Act of a person of unsound mind.,GENERAL EXCEPTIONS
10023,Bharatiya Nyaya Sanhita,23,Act of a person incapable of judgment by reason of intoxication caused against his will.,GENERAL EXCEPTIONS
10024,Bharatiya Nyaya Sanhita,24,Offence requiring a particular intent or knowledge committed by one who is intoxicated.,GENERAL EXCEPTIONS
10025,Bharatiya Nyaya Sanhita,25,"Act not intended and not known to be likely to cause death or grievous hurt, done by consent.",GENERAL EXCEPTIONS
10026,Bharatiya Nyaya Sanhita,26,"Act not intended to cause death, done by consent in good faith for person's benefit.",GENERAL EXCEPTIONS
10027,Bharatiya Nyaya Sanhita,27,"Act done in good faith for benefit of child or person of unsound mind, by, or by consent of",GENERAL EXCEPTIONS
10028,Bharatiya Nyaya Sanhita,28,Consent known to be given under fear or misconception.,GENERAL EXCEPTIONS
10029,Bharatiya Nyaya Sanhita,29,Exclusion of acts which are offences independently of harm caused.,GENERAL EXCEPTIONS
10030,Bharatiya Nyaya Sanhita,30,Act done in good faith for benefit of a person without consent.,GENERAL EXCEPTIONS
10031,Bharatiya Nyaya Sanhita,31,Communication made in good faith.,GENERAL EXCEPTIONS
10032,Bharatiya Nyaya Sanhita,32,Act to which a person is compelled by threats.,GENERAL EXCEPTIONS
